distance,original,order_1,order_2,order_3,order_4,order_5
50,-0.68,9.28,0.68,4.36,2.92,-6.18
60,0.73,6.28,1.3,2.48,2.63,9.8
70,4.39,7.23,4.31,4.37,4.99,13.49
80,-1.78,-2.55,-3.13,-4.06,-3.39,-0.12
90,-2.12,-4.9,-4.41,-5.47,-5.09,-6.18
100,0.3,-3.61,-2.62,-3.56,-3.43,-6.31
110,2.61,-2.15,-0.87,-1.63,-1.71,-5.05
120,3.09,-2.65,-1.15,-1.64,-1.92,-4.63
130,1.1,-5.9,-4.3,-4.42,-4.84,-5.48
140,4.96,-2.11,-0.6,-0.59,-1.01,-0.76
150,3.91,-4.03,-2.65,-2.37,-2.74,-0.61
160,5.54,-2.68,-1.49,-1.08,-1.37,1.44
170,8.67,0.49,1.54,1.99,1.76,4.67
180,6.35,-2.71,-2.07,-1.5,-1.56,0.87
190,10.23,1.46,2.01,2.54,2.52,4.62
200,8.26,-1.23,-1.19,-0.75,-0.63,-0.56
210,7.17,-2.85,-3.33,-3.14,-2.99,-4.72
220,9.21,-0.75,-1.45,-1.41,-1.29,-3.34
230,11.37,1.51,0.62,0.47,0.5,-0.96
240,13.93,4.28,3.3,3.08,3.1,1.44
250,19.32,10.41,9.7,9.67,9.75,7.97
