fused,gyro,mag
-0.072389,-0.042178,-0.210859
-0.076252,-0.043597,-0.19603
-0.077762,-0.043624,-0.15037
-0.076244,-0.043652,-0.000489
-0.07383,-0.04368,0.045834
-0.072686,-0.043708,-0.015283
-0.074267,-0.043736,-0.15037
-0.071892,-0.043764,0.045834
-0.070787,-0.043791,-0.015283
-0.068185,-0.043819,0.060669
-0.069856,-0.043847,-0.15037
-0.06757,-0.043875,0.045834
-0.070617,-0.045294,-0.15037
-0.068018,-0.045322,0.060669
-0.070309,-0.04535,-0.181202
-0.06908,-0.046769,0.060669
-0.067736,-0.046797,-0.000489
-0.069416,-0.046824,-0.15037
-0.073635,-0.048244,-0.210859
-0.072637,-0.049663,0.045834
-0.070295,-0.049691,0.045834
-0.071923,-0.049718,-0.15037
-0.069299,-0.049746,0.060669
-0.072014,-0.051165,-0.135501
-0.069684,-0.051193,0.045834
-0.072688,-0.052612,-0.15037
-0.075183,-0.05264,-0.19603
-0.072789,-0.052668,0.045834
-0.070444,-0.052696,0.045834
-0.068146,-0.052724,0.045834
-0.067116,-0.052751,-0.015283
-0.070172,-0.054171,-0.15037
-0.07408,-0.05559,-0.19603
-0.074269,-0.054226,-0.15037
-0.075368,-0.052863,-0.19603
-0.074335,-0.054282,0.045834
-0.071959,-0.05431,0.045834
-0.06963,-0.054338,0.045834
-0.072482,-0.054365,-0.210859
-0.075277,-0.054393,-0.210859
-0.078016,-0.054421,-0.210859
-0.075566,-0.054449,0.045834
-0.072869,-0.054477,0.060669
-0.075656,-0.054505,-0.210859
-0.073253,-0.054532,0.045834
-0.076186,-0.055951,-0.15037
-0.080271,-0.057371,-0.210859
-0.077776,-0.057398,0.045834
-0.080465,-0.057426,-0.210859
-0.079033,-0.058845,0.060669
-0.077785,-0.058873,-0.015283
-0.073977,-0.05751,0.045834
-0.071608,-0.057538,0.045834
-0.070213,-0.057565,-0.000489
-0.067919,-0.057593,0.045834
-0.068232,-0.05623,-0.15037
-0.065681,-0.056258,0.060669
-0.063181,-0.056285,0.060669
-0.060591,-0.054922,-0.000489
-0.064691,-0.056341,-0.19603
-0.062507,-0.056369,0.045834
-0.061731,-0.057788,0.045834
-0.061126,-0.057816,-0.030077
-0.060377,-0.059235,0.045834
-0.061907,-0.059263,-0.135501
-0.059779,-0.059291,0.045834
-0.057694,-0.059318,0.045834
-0.060785,-0.059346,-0.210859
-0.058539,-0.057983,-0.015283
-0.056479,-0.058011,0.045834
-0.05945,-0.05943,-0.135501
-0.059957,-0.060849,-0.015283
-0.061793,-0.060877,-0.15037
-0.063592,-0.060905,-0.15037
-0.06143,-0.060932,0.045834
-0.059312,-0.06096,0.045834
-0.061161,-0.060988,-0.15037
-0.057388,-0.059625,0.060669
-0.055351,-0.059652,0.045834
-0.051991,-0.058289,0.045834
-0.057917,-0.058317,-0.346957
-0.054506,-0.056953,0.045834
-0.052823,-0.056981,0.030998
-0.050878,-0.057009,0.045834
-0.050193,-0.057037,-0.015283
-0.05086,-0.055673,-0.15037
-0.050176,-0.055701,-0.015283
-0.053417,-0.055729,-0.210859
-0.054933,-0.054365,-0.19603
-0.055506,-0.053002,-0.15037
-0.053506,-0.05303,0.045834
-0.050183,-0.051666,0.045834
-0.04829,-0.051694,0.045834
-0.047657,-0.051722,-0.015283
-0.040534,-0.050359,0.241669
-0.037471,-0.048995,0.045834
-0.037054,-0.049023,-0.015283
-0.039051,-0.049051,-0.135501
-0.041304,-0.049079,-0.15037
-0.043513,-0.049106,-0.15037
-0.041753,-0.049134,0.045834
-0.043953,-0.049162,-0.15037
-0.046108,-0.04919,-0.15037
-0.044297,-0.049218,0.045834
-0.047655,-0.049245,-0.210859
-0.049737,-0.049273,-0.15037
-0.047712,-0.04791,-0.015283
-0.045868,-0.047938,0.045834
-0.044988,-0.047965,-0.000489
-0.048486,-0.049385,-0.15037
-0.046627,-0.049412,0.045834
-0.048729,-0.04944,-0.15037
-0.046865,-0.049468,0.045834
-0.044742,-0.049496,0.060669
-0.046431,-0.048132,-0.19603
-0.042953,-0.046769,0.060669
-0.045129,-0.046797,-0.15037
-0.04304,-0.046825,0.060669
-0.040993,-0.046852,0.060669
-0.040506,-0.04688,-0.015283
-0.04017,-0.048299,0.045834
-0.0397,-0.048327,-0.015283
-0.043006,-0.049746,-0.135501
-0.041257,-0.049774,0.045834
-0.040906,-0.051193,0.045834
-0.040421,-0.051221,-0.015283
-0.039945,-0.051249,-0.015283
-0.042181,-0.051277,-0.15037
-0.04167,-0.051305,-0.015283
-0.040874,-0.051332,-0.000489
-0.040531,-0.052752,0.045834
-0.038831,-0.052779,0.045834
-0.038387,-0.052807,-0.015283
-0.037796,-0.054226,0.060669
-0.037218,-0.055646,0.060669
-0.03817,-0.057065,-0.015283
-0.039078,-0.055701,-0.15037
-0.037407,-0.055729,0.045834
-0.04197,-0.057148,-0.19603
-0.045375,-0.057176,-0.210859
-0.044801,-0.057204,-0.015283
-0.047852,-0.057232,-0.19603
-0.052503,-0.058651,-0.210859
-0.050564,-0.058679,0.045834
-0.048522,-0.057315,-0.015283
-0.050586,-0.057343,-0.15037
-0.052609,-0.057371,-0.15037
-0.05189,-0.057399,-0.015283
-0.049963,-0.057426,0.045834
-0.051998,-0.057454,-0.15037
-0.050995,-0.057482,-0.000489
-0.054076,-0.058901,-0.135501
-0.053172,-0.06032,0.060669
-0.052146,-0.060348,-0.000489
-0.054137,-0.060376,-0.15037
-0.057299,-0.060404,-0.210859
-0.056486,-0.060432,-0.015283
-0.055689,-0.060459,-0.015283
-0.054908,-0.060487,-0.015283
-0.052921,-0.060515,0.045834
-0.054743,-0.059152,-0.210859
-0.052618,-0.057788,-0.015283
-0.051898,-0.057816,-0.015283
-0.052261,-0.059235,-0.000489
-0.051549,-0.059263,-0.015283
-0.049332,-0.059291,0.060669
-0.047456,-0.059319,0.045834
-0.046839,-0.059346,-0.015283
-0.046236,-0.059374,-0.015283
-0.047007,-0.060793,-0.015283
-0.0464,-0.060821,-0.015283
-0.049573,-0.06224,-0.135501
-0.046329,-0.060877,0.045834
-0.045735,-0.060905,-0.015283
-0.049218,-0.062324,-0.15037
-0.047345,-0.062352,0.045834
-0.045508,-0.062379,0.045834
-0.047633,-0.062407,-0.15037
-0.045494,-0.062435,0.060669
-0.046422,-0.065246,0.045834
-0.048528,-0.065273,-0.15037
-0.050295,-0.065301,-0.135501
-0.048399,-0.065329,0.045834
-0.047764,-0.065357,-0.015283
-0.046846,-0.065385,-0.000489
-0.046242,-0.065413,-0.015283
-0.045791,-0.066832,0.045834
-0.043986,-0.066859,0.045834
-0.042217,-0.066887,0.045834
-0.039165,-0.068306,0.179917
-0.041416,-0.068334,-0.15037
-0.043469,-0.066971,-0.210859
-0.045337,-0.066999,-0.135501
-0.050038,-0.068418,-0.210859
-0.047851,-0.068446,0.060669
