x,y,z
0.018182,0.133333,-0.45
0.015152,0.166667,-0.386364
-0.021212,0.237879,-0.292424
-0.05303,0.265152,-0.268182
-0.140909,0.289394,-0.254545
-0.190909,0.293939,-0.266667
-0.307576,0.3,-0.321212
-0.363636,0.3,-0.371212
-0.459091,0.313636,-0.512121
-0.492424,0.327273,-0.598485
-0.510606,0.375758,-0.778788
-0.495455,0.407576,-0.865152
-0.422727,0.490909,-1.006061
-0.372727,0.539394,-1.054545
-0.281818,0.637879,-1.092424
-0.251515,0.681818,-1.089394
-0.228788,0.75303,-1.065152
-0.218182,0.780303,-1.05
-0.183333,0.824242,-1.018182
-0.168182,0.843939,-0.998485
-0.166667,0.880303,-0.962121
-0.180303,0.898485,-0.94697
-0.227273,0.925758,-0.916667
-0.254545,0.934848,-0.90303
-0.310606,0.939394,-0.889394
-0.334848,0.930303,-0.895455
-0.369697,0.89697,-0.925758
-0.377273,0.869697,-0.95303
-0.371212,0.801515,-1.007576
-0.357576,0.763636,-1.034848
-0.301515,0.677273,-1.081818
-0.263636,0.633333,-1.09697
-0.178788,0.539394,-1.110606
-0.134848,0.493939,-1.095455
-0.054545,0.4,-1.078788
-0.018182,0.354545,-1.022727
0.043939,0.263636,-0.981818
0.069697,0.222727,-0.881818
0.107576,0.163636,-0.827273
0.116667,0.133333,-0.719697
0.112121,0.119697,-0.668182
0.098485,0.116667,-0.574242
0.05303,0.115152,-0.531818
0.383333,0.130303,-0.478788
-0.039394,0.128788,-0.463636
-0.112121,0.142424,-0.454545
-0.15303,0.14697,-0.462121
-0.227273,0.159091,-0.501515
-0.262121,0.163636,-0.533333
-0.325758,0.186364,-0.615152
-0.343939,0.2,-0.666667
-0.357576,0.227273,-0.774242
-0.351515,0.243939,-0.831818
-0.316667,0.286364,-0.930303
-0.293939,0.30303,-0.969697
-0.237879,0.339394,-1.024242
-0.209091,0.357576,-1.04697
-0.14697,0.415152,-1.081818
-0.115152,0.442424,-1.092424
-0.060606,0.50303,-1.09697
-0.043939,0.527273,-1.095455
-0.019697,0.583333,-1.086364
-0.010606,0.60303,-1.078788
0.004545,0.65,-1.060606
0.009091,0.669697,-1.05303
0.006061,0.713636,-1.033333
0.00303,0.731818,-1.022727
-0.007576,0.772727,-1.0
-0.015152,0.790909,-0.987879
-0.031818,0.825758,-0.963636
-0.040909,0.840909,-0.954545
-0.063636,0.863636,-0.937879
-0.074242,0.872727,-0.933333
-0.093939,0.886364,-0.927273
-0.101515,0.889394,-0.925758
-0.116667,0.890909,-0.931818
-0.125758,0.889394,-0.937879
-0.136364,0.881818,-0.951515
-0.143939,0.875758,-0.959091
-0.14697,0.860606,-0.977273
-0.143939,0.84697,-0.986364
-0.131818,0.815152,-1.013636
-0.127273,0.795455,-1.025758
-0.113636,0.751515,-1.05303
-0.107576,0.725758,-1.063636
-0.089394,0.674242,-1.081818
-0.080303,0.645455,-1.087879
-0.065152,0.581818,-1.09697
-0.057576,0.543939,-1.098485
-0.037879,0.471212,-1.090909
