x,y,z
0.133333,0.172727,0.425758
0.133333,0.175758,0.424242
0.137879,0.183333,0.424242
0.139394,0.180303,0.424242
0.139394,0.186364,0.424242
0.140909,0.187879,0.424242
0.140909,0.189394,0.422727
0.140909,0.192424,0.422727
0.140909,0.193939,0.422727
0.142424,0.19697,0.422727
0.140909,0.2,0.421212
0.142424,0.201515,0.421212
0.143939,0.204545,0.419697
0.145455,0.206061,0.419697
0.14697,0.207576,0.418182
0.15,0.209091,0.418182
0.151515,0.210606,0.418182
0.156061,0.215152,0.416667
0.159091,0.216667,0.416667
0.165152,0.225758,0.415152
0.168182,0.224242,0.413636
0.169697,0.227273,0.412121
0.177273,0.230303,0.410606
0.178788,0.234848,0.410606
0.181818,0.236364,0.407576
0.181818,0.239394,0.407576
0.180303,0.242424,0.407576
0.180303,0.243939,0.406061
0.178788,0.245455,0.407576
0.178788,0.24697,0.406061
0.177273,0.25303,0.404545
0.178788,0.248485,0.404545
0.183333,0.25,0.404545
0.180303,0.248485,0.404545
0.181818,0.25,0.404545
0.178788,0.248485,0.404545
0.178788,0.24697,0.406061
0.175758,0.240909,0.407576
0.172727,0.239394,0.409091
0.168182,0.234848,0.410606
0.166667,0.234848,0.410606
0.160606,0.231818,0.412121
0.159091,0.231818,0.412121
0.156061,0.231818,0.412121
0.154545,0.233333,0.412121
0.148485,0.236364,0.410606
0.145455,0.237879,0.410606
0.139394,0.242424,0.412121
0.134848,0.240909,0.410606
0.131818,0.242424,0.410606
0.127273,0.243939,0.410606
0.124242,0.243939,0.410606
0.121212,0.242424,0.412121
0.119697,0.239394,0.412121
0.119697,0.234848,0.413636
0.121212,0.231818,0.413636
0.121212,0.222727,0.415152
0.122727,0.218182,0.416667
0.125758,0.213636,0.419697
0.127273,0.20303,0.421212
0.131818,0.190909,0.422727
0.134848,0.181818,0.424242
0.137879,0.174242,0.425758
0.145455,0.162121,0.425758
0.148485,0.156061,0.427273
0.15303,0.142424,0.427273
0.156061,0.136364,0.427273
0.163636,0.122727,0.425758
0.166667,0.115152,0.425758
0.172727,0.101515,0.425758
0.175758,0.095455,0.424242
0.181818,0.083333,0.422727
0.184848,0.077273,0.422727
0.190909,0.065152,0.419697
0.193939,0.060606,0.418182
0.198485,0.05303,0.416667
0.201515,0.05,0.416667
0.201515,0.045455,0.415152
0.204545,0.036364,0.413636
0.204545,0.031818,0.413636
0.20303,0.019697,0.409091
0.20303,0.010606,0.407576
0.19697,-0.013636,0.398485
0.192424,-0.028788,0.392424
0.181818,-0.057576,0.378788
0.177273,-0.071212,0.372727
0.163636,-0.089394,0.359091
0.156061,-0.101515,0.35303
0.139394,-0.115152,0.339394
0.130303,-0.121212,0.334848
0.121212,-0.125758,0.328788
0.10303,-0.127273,0.321212
0.092424,-0.127273,0.319697
0.072727,-0.124242,0.316667
0.063636,-0.122727,0.313636
0.05303,-0.121212,0.309091
0.048485,-0.122727,0.306061
0.042424,-0.125758,0.301515
0.040909,-0.127273,0.29697
0.040909,-0.131818,0.290909
0.043939,-0.136364,0.287879
0.05,-0.142424,0.281818
0.056061,-0.14697,0.281818
0.069697,-0.151515,0.280303
0.078788,-0.154545,0.278788
0.090909,-0.159091,0.280303
0.119697,-0.165152,0.283333
0.137879,-0.166667,0.284848
0.180303,-0.168182,0.289394
0.204545,-0.166667,0.290909
0.254545,-0.162121,0.295455
0.281818,-0.159091,0.293939
0.331818,-0.142424,0.293939
0.354545,-0.133333,0.293939
0.393939,-0.104545,0.293939
0.409091,-0.093939,0.293939
0.436364,-0.066667,0.293939
0.443939,-0.056061,0.295455
0.45,-0.042424,0.298485
0.457576,-0.021212,0.304545
0.459091,-0.013636,0.306061
0.459091,-0.001515,0.310606
0.459091,0.001515,0.312121
0.456061,0.00303,0.315152
0.457576,0.00303,0.313636
0.454545,-0.004545,0.315152
0.45303,-0.009091,0.313636
0.448485,-0.022727,0.312121
0.445455,-0.030303,0.312121
0.433333,-0.045455,0.309091
0.425758,-0.056061,0.310606
0.407576,-0.072727,0.312121
0.39697,-0.081818,0.312121
0.383333,-0.092424,0.315152
0.35,-0.107576,0.316667
0.334848,-0.115152,0.319697
0.293939,-0.127273,0.322727
0.271212,-0.131818,0.324242
0.224242,-0.136364,0.325758
0.201515,-0.136364,0.328788
0.154545,-0.131818,0.328788
0.133333,-0.127273,0.331818
0.092424,-0.113636,0.330303
0.071212,-0.112121,0.328788
0.037879,-0.095455,0.327273
0.021212,-0.090909,0.327273
0.009091,-0.083333,0.325758
-0.010606,-0.071212,0.327273
-0.019697,-0.063636,0.327273
-0.031818,-0.051515,0.328788
-0.034848,-0.048485,0.328788
-0.042424,-0.043939,0.328788
-0.043939,-0.043939,0.328788
-0.042424,-0.045455,0.327273
-0.042424,-0.045455,0.328788
-0.039394,-0.051515,0.327273
-0.036364,-0.054545,0.327273
-0.024242,-0.065152,0.322727
-0.018182,-0.071212,0.322727
0.00303,-0.087879,0.321212
0.015152,-0.098485,0.318182
0.030303,-0.107576,0.315152
0.066667,-0.127273,0.313636
0.087879,-0.136364,0.312121
0.133333,-0.148485,0.312121
0.160606,-0.151515,0.312121
0.209091,-0.15303,0.312121
0.234848,-0.148485,0.313636
0.281818,-0.140909,0.313636
0.30303,-0.133333,0.315152
0.340909,-0.110606,0.316667
0.357576,-0.10303,0.316667
0.386364,-0.080303,0.318182
0.395455,-0.071212,0.319697
0.404545,-0.060606,0.321212
0.418182,-0.040909,0.322727
0.422727,-0.031818,0.324242
0.430303,-0.015152,0.327273
0.431818,-0.009091,0.328788
0.433333,0.0,0.331818
0.433333,0.00303,0.330303
0.431818,0.00303,0.331818
0.430303,0.001515,0.331818
0.425758,-0.007576,0.331818
0.422727,-0.016667,0.331818
0.412121,-0.033333,0.328788
0.407576,-0.043939,0.328788
0.389394,-0.063636,0.328788
0.378788,-0.074242,0.328788
0.366667,-0.084848,0.327273
0.337879,-0.104545,0.325758
0.321212,-0.113636,0.327273
0.283333,-0.128788,0.325758
0.262121,-0.134848,0.325758
0.216667,-0.143939,0.322727
0.192424,-0.14697,0.321212
0.142424,-0.15,0.315152
0.116667,-0.148485,0.312121
0.065152,-0.140909,0.307576
0.040909,-0.137879,0.304545
0.001515,-0.122727,0.301515
-0.015152,-0.113636,0.301515
-0.030303,-0.104545,0.3
-0.051515,-0.086364,0.306061
-0.059091,-0.075758,0.310606
-0.068182,-0.060606,0.316667
-0.071212,-0.05303,0.321212
-0.077273,-0.04697,0.324242
-0.075758,-0.043939,0.324242
-0.078788,-0.042424,0.324242
-0.078788,-0.043939,0.325758
-0.075758,-0.043939,0.325758
-0.074242,-0.04697,0.325758
-0.063636,-0.05303,0.327273
-0.054545,-0.057576,0.327273
-0.036364,-0.065152,0.330303
-0.022727,-0.074242,0.330303
-0.010606,-0.080303,0.330303
0.018182,-0.095455,0.331818
0.033333,-0.10303,0.331818
0.069697,-0.115152,0.333333
0.090909,-0.119697,0.333333
0.131818,-0.127273,0.333333
0.15303,-0.128788,0.336364
0.192424,-0.127273,0.337879
0.210606,-0.124242,0.337879
0.243939,-0.115152,0.339394
0.259091,-0.112121,0.340909
0.286364,-0.101515,0.342424
0.29697,-0.098485,0.342424
0.306061,-0.093939,0.342424
0.324242,-0.081818,0.343939
0.331818,-0.075758,0.343939
0.343939,-0.066667,0.345455
0.348485,-0.060606,0.34697
0.354545,-0.051515,0.348485
0.357576,-0.04697,0.35
0.360606,-0.039394,0.35303
0.360606,-0.033333,0.354545
0.359091,-0.021212,0.360606
0.357576,-0.018182,0.363636
0.35,-0.009091,0.369697
0.345455,-0.007576,0.371212
0.336364,-0.007576,0.375758
0.330303,-0.012121,0.375758
0.324242,-0.016667,0.377273
0.310606,-0.031818,0.374242
0.301515,-0.039394,0.374242
0.281818,-0.059091,0.371212
0.268182,-0.068182,0.368182
0.240909,-0.084848,0.363636
0.224242,-0.092424,0.360606
0.186364,-0.106061,0.354545
0.166667,-0.109091,0.351515
0.121212,-0.107576,0.34697
0.09697,-0.109091,0.342424
0.05,-0.101515,0.336364
0.025758,-0.098485,0.333333
0.0,-0.087879,0.324242
-0.045455,-0.071212,0.321212
-0.066667,-0.060606,0.318182
-0.104545,-0.040909,0.309091
-0.119697,-0.031818,0.30303
-0.14697,-0.012121,0.295455
-0.157576,-0.00303,0.292424
-0.177273,0.015152,0.286364
-0.181818,0.025758,0.286364
-0.190909,0.042424,0.286364
-0.193939,0.048485,0.287879
-0.195455,0.062121,0.290909
-0.195455,0.068182,0.292424
-0.198485,0.080303,0.293939
-0.201515,0.083333,0.292424
-0.206061,0.087879,0.290909
-0.213636,0.092424,0.284848
-0.216667,0.090909,0.281818
-0.221212,0.086364,0.277273
-0.221212,0.084848,0.274242
-0.221212,0.074242,0.272727
-0.219697,0.068182,0.271212
-0.215152,0.051515,0.269697
-0.210606,0.040909,0.269697
-0.198485,0.021212,0.268182
-0.190909,0.00303,0.268182
-0.171212,-0.027273,0.265152
-0.159091,-0.045455,0.263636
-0.142424,-0.063636,0.262121
-0.109091,-0.098485,0.260606
-0.086364,-0.115152,0.260606
-0.042424,-0.14697,0.259091
