pitch,xy_angle
0.016173,-0.12153
-0.003672,0.099153
0.000237,-0.12153
0.000235,0.114628
0.000237,-0.089377
0.000237,-0.089377
0.000237,-0.311799
0.000237,-0.12153
0.000237,-0.074602
0.004173,-0.106881
0.000237,-0.325632
0.000237,-0.089377
0.004173,-0.089377
0.00419,-0.12153
0.004223,-0.339348
0.000237,-0.311799
0.000235,-0.089377
0.000237,-0.089377
0.004207,-0.311799
0.000236,-0.12153
0.000238,-0.074602
0.000237,-0.106881
0.000237,-0.12153
0.000236,-0.089377
0.004173,-0.297869
0.00419,-0.344089
0.004173,-0.089377
0.000237,-0.074602
0.000237,0.114628
0.000237,-0.057233
0.00419,-0.089377
0.000237,-0.089377
0.00419,-0.136062
0.000236,-0.074602
-0.003716,-0.12153
0.004206,-0.089377
0.004173,-0.106881
0.000236,-0.074602
0.000237,-0.089377
0.004173,-0.089377
0.000237,-0.106881
-0.003716,-0.089377
0.000237,-0.311799
0.000236,-0.106881
0.000237,-0.136062
0.000237,0.146762
0.000237,-0.12153
0.000237,0.146762
0.000238,-0.074602
0.000236,-0.311799
0.000238,0.146762
0.000237,-0.12153
0.004207,-0.12153
0.00419,-0.12153
0.000236,-0.074602
0.000237,-0.106881
0.000236,-0.339348
0.000237,0.162499
0.000237,-0.106881
0.00419,-0.089377
0.000237,-0.057233
0.000237,-0.325632
0.000237,-0.12153
0.00419,0.130229
0.000237,-0.074602
0.000237,-0.12153
0.000237,-0.042322
0.004173,-0.139161
0.000237,-0.074602
0.000236,-0.344089
0.000238,-0.12153
-0.003715,-0.153684
0.000237,0.146762
0.000237,-0.092116
0.000237,-0.357795
0.00419,-0.12153
0.000237,0.097968
0.000237,-0.12153
0.000237,-0.344089
0.000237,-0.362701
0.000237,-0.12153
0.000238,-0.153684
0.000236,0.145956
0.00419,-0.153684
0.000237,-0.074602
0.000237,-0.156938
0.000237,-0.344089
0.000236,-0.389949
0.00419,-0.106881
0.000236,-0.153684
0.000236,-0.12153
0.000237,-0.344089
-0.003716,-0.12153
0.000236,-0.12153
0.000237,-0.12153
0.000237,0.099153
0.000236,-0.293479
0.000237,-0.106881
0.000235,-0.357795
